structure,dump_path,N,Fmax,F95,Frms,Fmean,reject
str_062,relaxed/str_062.force.dump,148,0.000127054,7.812057e-05,4.776344205949719e-05,4.414697027027027e-05,False
str_077,relaxed/str_077.force.dump,129,0.000123841,7.778535999999995e-05,4.079577463669661e-05,3.456744813953488e-05,False
str_039,relaxed/str_039.force.dump,147,0.000119295,7.797601999999996e-05,5.062613817505199e-05,4.724652244897959e-05,False
str_021,relaxed/str_021.force.dump,122,0.000111508,6.913089499999997e-05,4.198937293534428e-05,3.843414721311476e-05,False
str_090,relaxed/str_090.force.dump,118,0.000110313,9.029316499999996e-05,5.008196910301828e-05,4.5239800847457616e-05,False
str_026,relaxed/str_026.force.dump,132,0.000108875,5.4321564999999976e-05,3.406547689154363e-05,3.072721795454546e-05,False
str_058,relaxed/str_058.force.dump,137,0.000107725,7.133863999999999e-05,4.273502563060601e-05,3.819798489051095e-05,False
str_101,relaxed/str_101.force.dump,130,0.00010453,8.022476e-05,4.856888085101191e-05,4.424903561538461e-05,False
str_044,relaxed/str_044.force.dump,147,0.000104378,8.106114999999999e-05,5.133319679035434e-05,4.717049482993197e-05,False
str_025,relaxed/str_025.force.dump,125,0.000103008,7.85196e-05,4.456260597798047e-05,4.009166864e-05,False
str_059,relaxed/str_059.force.dump,111,0.000101004,6.48353e-05,4.385516362182013e-05,4.055622864864865e-05,False
str_031,relaxed/str_031.force.dump,149,9.93098e-05,8.500051999999999e-05,4.93001334070981e-05,4.547345187919463e-05,False
str_032,relaxed/str_032.force.dump,127,9.77257e-05,6.855593999999997e-05,3.991485720822213e-05,3.611238362204724e-05,False
str_086,relaxed/str_086.force.dump,144,9.69068e-05,8.6532765e-05,4.833078550885766e-05,4.416665388888889e-05,False
str_033,relaxed/str_033.force.dump,145,9.58164e-05,7.780089999999998e-05,4.7419877450740296e-05,4.356448613793103e-05,False
str_088,relaxed/str_088.force.dump,147,9.54203e-05,7.643905e-05,5.041386310929371e-05,4.6731493333333335e-05,False
str_010,relaxed/str_010.force.dump,144,9.33729e-05,6.2579685e-05,4.154277317432976e-05,3.874041986111112e-05,False
str_007,relaxed/str_007.force.dump,121,9.2898e-05,6.60113e-05,4.003374316633138e-05,3.660258256198347e-05,False
str_085,relaxed/str_085.force.dump,145,9.24299e-05,7.561975999999993e-05,4.6814584577265205e-05,4.286180813793104e-05,False
str_003,relaxed/str_003.force.dump,145,9.15537e-05,7.010287999999997e-05,4.3159309466143634e-05,3.964791889655172e-05,False
str_017,relaxed/str_017.force.dump,135,9.15431e-05,6.415464e-05,3.966005793213613e-05,3.648938088888889e-05,False
str_035,relaxed/str_035.force.dump,132,8.94615e-05,5.663453999999994e-05,3.520323993562521e-05,3.197832659090909e-05,False
str_027,relaxed/str_027.force.dump,142,8.89366e-05,6.165181499999999e-05,3.868450886908829e-05,3.576645690140845e-05,False
str_066,relaxed/str_066.force.dump,144,8.80941e-05,7.049956999999999e-05,4.3683624393056514e-05,4.060119875e-05,False
str_052,relaxed/str_052.force.dump,143,8.58974e-05,7.013198e-05,4.361026935091636e-05,4.0545217692307694e-05,False
str_013,relaxed/str_013.force.dump,145,8.38786e-05,5.837829999999998e-05,3.887665431908407e-05,3.608918875862069e-05,False
str_105,relaxed/str_105.force.dump,151,8.32808e-05,6.57945e-05,3.9801106791807e-05,3.655242092715231e-05,False
str_006,relaxed/str_006.force.dump,142,8.27364e-05,5.958074e-05,3.902887880153461e-05,3.647642014084508e-05,False
str_073,relaxed/str_073.force.dump,136,7.6156e-05,5.69135e-05,3.183882510270941e-05,2.8788931470588232e-05,False
str_078,relaxed/str_078.force.dump,124,7.41003e-05,5.583944499999998e-05,3.474645458972803e-05,3.2133383064516135e-05,False
str_091,relaxed/str_091.force.dump,129,7.32011e-05,6.614365999999997e-05,4.0791448704320827e-05,3.764463054263566e-05,False
str_051,relaxed/str_051.force.dump,144,6.91976e-05,5.683714e-05,3.758774640882656e-05,3.495157402777778e-05,False
str_069,relaxed/str_069.force.dump,131,6.62144e-05,5.76354e-05,3.7512929110225655e-05,3.5238981068702294e-05,False
str_103,relaxed/str_103.force.dump,128,5.99969e-05,4.429230999999999e-05,2.688678269613092e-05,2.4420351171875e-05,False
